away_team,home_team,kickoff,hour_offset,tweet_count
MIN,DET,2013-09-08 13:00:00,15,0
MIN,DET,2013-09-08 13:00:00,16,0
MIN,DET,2013-09-08 13:00:00,17,0
MIN,DET,2013-09-08 13:00:00,18,0
MIN,DET,2013-09-08 13:00:00,19,0
MIN,DET,2013-09-08 13:00:00,20,0
MIN,DET,2013-09-08 13:00:00,21,0
MIN,DET,2013-09-08 13:00:00,22,0
MIN,DET,2013-09-08 13:00:00,23,1
MIN,DET,2013-09-08 13:00:00,24,1
MIN,DET,2013-09-08 13:00:00,25,0
MIN,DET,2013-09-08 13:00:00,26,0
MIN,DET,2013-09-08 13:00:00,27,0
MIN,DET,2013-09-08 13:00:00,28,0
MIN,DET,2013-09-08 13:00:00,29,0
MIN,DET,2013-09-08 13:00:00,30,0
MIN,DET,2013-09-08 13:00:00,31,0
MIN,DET,2013-09-08 13:00:00,32,0
MIN,DET,2013-09-08 13:00:00,33,0
MIN,DET,2013-09-08 13:00:00,34,0
MIN,DET,2013-09-08 13:00:00,35,0
MIN,DET,2013-09-08 13:00:00,36,0
MIN,DET,2013-09-08 13:00:00,37,0
MIN,DET,2013-09-08 13:00:00,38,0
MIN,DET,2013-09-08 13:00:00,39,0
MIN,DET,2013-09-08 13:00:00,40,0
MIN,DET,2013-09-08 13:00:00,41,0
MIN,DET,2013-09-08 13:00:00,42,0
MIN,DET,2013-09-08 13:00:00,43,0
MIN,DET,2013-09-08 13:00:00,44,0
MIN,DET,2013-09-08 13:00:00,45,0
MIN,DET,2013-09-08 13:00:00,46,0
MIN,DET,2013-09-08 13:00:00,47,0
MIN,DET,2013-09-08 13:00:00,48,0
OAK,IND,2013-09-08 13:00:00,-5,0
OAK,IND,2013-09-08 13:00:00,-4,2
OAK,IND,2013-09-08 13:00:00,-3,0
OAK,IND,2013-09-08 13:00:00,-2,2
OAK,IND,2013-09-08 13:00:00,-1,6
OAK,IND,2013-09-08 13:00:00,0,3
OAK,IND,2013-09-08 13:00:00,1,4
OAK,IND,2013-09-08 13:00:00,2,0
OAK,IND,2013-09-08 13:00:00,3,36
OAK,IND,2013-09-08 13:00:00,4,47
OAK,IND,2013-09-08 13:00:00,5,0
OAK,IND,2013-09-08 13:00:00,6,4
OAK,IND,2013-09-08 13:00:00,7,70
OAK,IND,2013-09-08 13:00:00,8,0
OAK,IND,2013-09-08 13:00:00,9,0
OAK,IND,2013-09-08 13:00:00,10,0
OAK,IND,2013-09-08 13:00:00,11,0
OAK,IND,2013-09-08 13:00:00,12,0
OAK,IND,2013-09-08 13:00:00,13,0
